가수,제목,장르,가사
BIGBANG (빅뱅),뱅뱅뱅 (BANG BANG BANG),가요 / 랩/힙합,난 깨어나 까만 밤과 함께 다 들어와 담엔 누구 차례 한 치 앞도 볼 수 없는  막장 게릴라 경배하라 목청이 터지게  찌질한 분위기를 전환해 광기를 감추지 못하게 해 남자들의 품위 여자들의 가식 이유 모를 자신감이 볼만해 난 보란 듯이 너무나도 뻔뻔히 니 몸속에 파고드는 알러지 이상한 정신의 술렁이는 천지 오늘 여기 무법지 난 불을 질러 심장을 태워 널 미치게 하고 싶어 B.I.G Yea we bang like this  모두 다 같이 총 맞은 것처럼 BANG! BANG! BANG! BANG! BANG! BANG! 빵야 빵야 빵야 BANG! BANG! BANG! BANG! BANG! BANG! 빵야 빵야 빵야 다 꼼짝 마라 다 꼼짝 마 다 꼼짝 마라 다 꼼짝 마 오늘 밤 끝장 보자  다 끝장 봐 오늘 밤 끝장 보자  빵야 빵야 빵야 널 데려가 지금 이 순간에 새빨간 저 하늘이 춤출 때 돌고 돌아 너와 나  이곳은 Valhalla 찬양하라 더 울려 퍼지게 We go hard 불침번  밤새 달려 축지법 이 노래는 꼭지점  신이나 불러라 신점 큰 비명소리는  마성의 멜로디  검은 독기의 연결 고리 사방 팔방 오방 가서 푸는  고삐 whoo 난 불을 질러 네 심장을 태워 널 미치게 하고 싶어 B.I.G Yea we bang like this  모두 다 같이 총 맞은 것처럼 BANG! BANG! BANG! BANG! BANG! BANG! 빵야 빵야 빵야 BANG! BANG! BANG! BANG! BANG! BANG! 빵야 빵야 빵야 다 꼼짝 마라 다 꼼짝 마 다 꼼짝 마라 다 꼼짝 마 오늘 밤 끝장 보자  다 끝장 봐 오늘 밤 끝장 보자  빵야 빵야 빵야 Ready or not Yea we don't give a what Ready or not Yea we don't give a what Let's go 남자들은 위로 여자들은 get low 당겨라 bang bang bang let the bass drum go 남자들은 위로 여자들은 get low 당겨라 bang bang bang let the bass drum go
백아연,이럴거면 그러지말지 (Feat. Young K),가요 / R&B/소울,궁금해서 잠이 안 와 그때 왜 그랬어? 구차해도 묻고 싶어 그때 난 뭐였어? 나나나나나나나나 나만 애 탄거니 나나나나나나나나 난 진심인데 넌 그랬구나 그랬어 좋았는데 넌 아니었나 봐 그랬구나 그때 넌 그런 줄 모르고 나 혼자  이럴 거면  바래다주었던 그날 밤 넌 나를 안아주지 말았어야지  설렘에 밤잠 설치게 했던 그 말 그 말도 말았어야지 그러지는 말지 비겁하게 숨어버린 너를 돌아 올 거라고 믿은 내가 바보야 사랑스럽게 날 보던 네 눈빛에 빠졌던 내가 바보지  이럴 줄도 모르고 이렇게 돼 버린 이상 그냥 얘기할게 이미 떠나버린 니 맘 돌릴 순 없으니 그랬구나 그랬어 좋았는데 넌 아니었나 봐 그랬구나 그때 넌 네 생각뿐인데 나 혼자 이럴 거면 바래다주었던 그날 밤 넌 나를 안아주지 말았어야지 설렘에 밤잠 설치게 했던 그 말 그 말도 말았어야지 이럴 줄은 몰랐어 [RAP] 어때 넌 어떻게 하고 싶니 지금 이 순간의 감정일지 중간에 금방 에러가 날것인지 I don't know 하지만 내 생각엔 오래가진 못할 거 같아 너 아닌 나 때문에 이 관계는 이어지지 못해 잠 못 들어 아픈 이 새벽 잘 지내니 문자 한번쯤은 해주지 혹시나 하며 올린 우리 얘기에 좋아요 누르지 말지 괜히 기대 하게 바래다주던 그 날 밤처럼 돌아와서 포근하게 나를 안아줘 설렘에 밤잠 설치게 했던 말로 또 두근거리게 해줘 다시 날 녹여줘 이럴 거면 귀엽다고 하지 말지 그러지 말지 혼잣말만 늘어가네 전하지도 못할 말만
나얼,같은 시간 속의 너,가요 / R&B/소울,꼭 그렇지 않아도  충분히 널 이해할 수 있어 다른 사람 곁에 서 있는 니 모습이 조금 어색하지만 다 버리지 않아도 어떻게든 이겨낼 수 있어 다른 사랑 찾아가버린 니 얼굴이 그렇게 밉진 않아 이제 우리 같은 시간 속을 남처럼 그렇게 걸으면 돼 달아나도 가지 못할 기억 안고 아무말도 하지마요 더는 안된다는거 잘 알아요 많은 날들이 아무 의미없진 않겠죠 멀어지는 바람처럼 우리 함께한 기억들을 꿈처럼 그렇게 안으면 돼 눈 감아도 잊지 못할 추억의 널 묻고 아무말도 하지마요 더는 안된다는거 잘 알아요 사랑했던 날 모두 사라지진 않겠죠 우릴 스치는 안개처럼 아무것도 묻지 않을게요 이대로 묻어둘래요 나는요 거짓말처럼 또 하루가 살아지겠죠 떨어지는 같은 시간 속의 너
Zion.T,꺼내 먹어요,가요 / R&B/소울,"안녕 쉽지 않죠 바쁘죠 왜 이렇게 까지  해야 하나 싶죠 바라는 게  더럽게 많죠 (그렇죠) 쉬고 싶죠 시끄럽죠 다 성가시죠? 집에 가고 싶죠? (집에 있는데도)  집에 가고 싶을 거야 그럴 땐 이 노래를 초콜릿처럼 꺼내 먹어요 피곤해도 아침 점심 밥 좀  챙겨 먹어요 그러면 이따 내가  칭찬해줄게요 보고 싶어 많이 좋아해요 더 많이 안아주고 싶어요 사랑, 사랑 비슷한 걸 해요 어쩌면 정말 사랑해요 배고플 땐 이 노래를 아침 사과처럼 꺼내 먹어요 피곤해도 아침 점심 밥 좀  챙겨 먹어요 그러면 이따 밤에  잠도 잘 올 거에요 힘들어요 아름다워서  알아봐줘요 나를 흘려 보내지 마요 나를 사랑해줘요 날, 날 놓치지 마요"
BIGBANG (빅뱅),LOSER,가요 / 랩/힙합,LOSER 외톨이  센 척하는 겁쟁이 못된 양아치 거울 속에 넌 JUST A LOSER 외톨이  상처뿐인 머저리 더러운 쓰레기  거울 속에 난 I'M A 솔직히 세상과  난 어울린 적 없어 홀로였던 내겐 사랑 따윈 벌써 잊혀 진지 오래  저 시간 속에 더 이상은 못 듣겠어  희망찬 사랑 노래 너나 나나 그저 길들여진 대로 각본 속에 놀아나는  슬픈 삐에로 난 멀리 와버렸어  I'M COMING HOME 이제 다시 돌아갈래  어릴 적 제자리로 언제부턴가 난 하늘 보다 땅을 더 바라보게 돼 숨쉬기조차 힘겨워 손을 뻗지만 그 누구도  날 잡아 주질 않네 I'M A LOSER 외톨이  센 척하는 겁쟁이 못된 양아치 거울 속에 넌 JUST A LOSER 외톨이  상처뿐인 머저리 더러운 쓰레기  거울 속에 난 I'M A 반복되는 여자들과의 내 실수 하룻밤을 사랑하고  해 뜨면 싫증 책임지지 못 할  나의 이기적인 기쁨 하나 땜에 모든 것이  망가져버린 지금 멈출 줄 모르던  나의 위험한 질주 이젠 아무런 감흥도  재미도 없는 기분 나 벼랑 끝에 혼자 있네  I'M GOING HOME 나 다시 돌아갈래  예전의 제자리로 언제부턴가 난 사람들의 시선을 두려워만 해 우는 것조차 지겨워 웃어보지만 그 아무도  날 알아주질 않네 I'M A LOSER 외톨이  센 척하는 겁쟁이 못된 양아치 거울 속에 넌 JUST A LOSER 외톨이  상처뿐인 머저리 더러운 쓰레기 거울 속에 난 파란 저 하늘을 원망하지 난 가끔 내려놓고 싶어져  I WANT TO SAY GOOD BYE 이 길의 끝에 방황이 끝나면 부디 후회 없는 채로  두 눈 감을 수 있길 LOSER 외톨이  센 척하는 겁쟁이 못된 양아치 거울 속에 넌 JUST A LOSER 외톨이  상처뿐인 머저리 더러운 쓰레기  거울 속에 난 I'M A LOSER I'M A LOSER I'M A LOSER I'M A LOSER
마마무(Mamamoo),음오아예 (Um Oh Ah Yeh),가요 / R&B/소울,음 오 아 예 oh yes 음 오 아 예 너에게 빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예 그래 난 다가가겠어 넌 내 취향저격 ace 내 앞을 지나갔어 눈빛이 마주쳤어 스타일이 좋아 느낌이 좋아 다를 게 없는 오늘 너 때문에 달아오른 오늘이 좋아 음오아예~ 첫 번째 플랜 감탄사 그 동안에 찾아 헤맨 남자 음오아예 맞는 옷처럼 잘 어울리는 너야 부드럽게 이런 말 어떤 것 같아? 음 두 번째 플랜 먼저 당기기 오오 동공 떨리는 초침 스탠바이 큐 아 시간되면 차 한잔 할래요? 예스 이런 건 어떤 것 같아? oh yes 음 오 아 예 너에게 빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예 그래 난 다가가겠어 넌 내 취향저격 ace 본능을 따르겠어 날 감추지 않겠어 오늘은 달라 먼저 다가가 걸음은 도도하게 말투는 애교 있게 날 보는 눈빛 음오아예 help me 시간 좀 되나요 나 좀 도와줘요 그 쪽 때문에 내 오감이 제멋대로예요 그 쪽이 예고 없이 날리는 미소에 음 콜린퍼스도 울고 갈 당신의 매너에 오 여자라 해도 믿을만한 피부 아예 넌 존재자체 감탄사 절로 나네 음오아예 나도 모르게 달아오르네 Holy Shh~ oh yes 음 오 아 예 너에게 빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예 그래 난 다가가겠어 넌 내 취향저격 ace 목소리도 oh yes 눈웃음도 oh yes 네 모든 게 머리부터 발끝까지 다 oh yes 지금 널 보면 난 oh yes 널 보면 난 oh yes 단 둘이서 oh yes 드루루 드루루 드루루 oh yes 뜨거워지는 이 분위기 너와 나의 거리 우리 사이로 한 여자가 걸어 와 때마침 그의 여자친구인 건지 아님 친군 건지 다가와 언니 이 여자 누구예요? 여자였어? OH MY GOD! oh yes 음 오 아 예 너에게 빠져들겠어 자꾸 반응하잖아 oh yes 음 오 아 예 그래 난 다가가겠어 넌 내 취향저격 ace 목소리도 oh yes 눈웃음도 oh yes Oh! 너의 모든 게 머리부터 발끝까지 다 oh yes
태연 (TAEYEON),I (Feat. 버벌진트),가요 / 락,"빛을 쏟는 Sky 그 아래 선 아이 (I) 꿈꾸듯이 Fly My Life is a Beauty 어디서 많이 들어본 이야기 미운 오리와 백조,  또 날기 전의 나비 사람들은 몰라,  너의 날개를 못 봐 네가 만난 세계라는 건  잔인할지도 몰라 But strong girl,  you know you were born to fly 네가 흘린 눈물,  네가 느낀 고통은 다 더 높이 날아오를 날을 위한  준비일 뿐 Butterfly, Everybody's gonna see it soon 빛을 쏟는 Sky 그 아래 선 아이 (I) 꿈꾸듯이 Fly My Life is a Beauty 잊었던 꿈, 내 맘 또 그려내 움츠렸던 시간  모두 모아 다 삼켜내 작은 기억 하나 둘씩 날 깨워가 세상 가득 채울 만큼  나를 펼쳐가 길고 긴 밤을 지나 다시 Trip 길을 떠나볼래 Why not? 이 세상에  내 맘을 깨워 주는 한마디 혼자였던 Yesterday,  셀 수 없는 시선에 떨어지는 눈물로  하루를 또 견디고 아슬했던 Yesterday,  쏟아지던 말들에 흔들리는 나를 또 감싸고 빛을 쏟는 Sky 그 아래 선 아이 (I) 꿈꾸듯이 Fly My Life is a Beauty My Life is a Beauty 꽃잎은 저물고 힘겨웠던 난, 작은 빛을 따라서 아득했던 날, 저 멀리 보내고 찬란하게 날아가 빛을 쏟는 Sky 새로워진 Eyes  (새로워진 Eyes) 저 멀리로 Fly  (Fly High, Fly High) 난 나만의 Beauty 눈 감은 순간 시간은 멈춰가 난 다시 떠올라"
miss A,다른 남자 말고 너,가요 / 댄스,다른 남자 말고 너 다른 남자 말고 너너너너 너 장난해 장난해 하는데 나는 절대로 장난이 아닌데 뭔말이 뭔말이 필요해 봐봐 온몸이 설명해 Baby 남자 친구들 많아 난 그렇다고 사랑 하지 못하나 남잘 모르는 여잔 별로거든 But baby baby oh oh 숨이 콱콱 막히잖아 날 이렇게 만든 건 너였잖아 아무 말도 할 수가 없어 이런 기분 처음인걸 다른 여자완 달라 뻔한 사랑은 싫어 내가 더 많이 좋아해도 상관없어 너만 있으면 돼 다른 남자완 달라 이제 그만 받아줘 You'll be my baby baby baby 너 다른 남자 말고 너 너 다른 남자 말고 너 다른 남자 말고 너너너너 너 가슴이 가슴이 뛰는데 다른 누구도 이렇겐 못했는데 뭔 말이 뭔 말이 필요해 자 봐봐 만져봐 내 심장이 Baby 아는 오빠들 많아 난 그렇다고 절대 쉽지는 않아 남잘 모르는 여잔 별로거든 But baby baby oh oh 숨이 콱콱 막히잖아 이렇게 만든 건 너였잖아 아무 말도 할 수가 없어 이런 기분 처음인걸 다른 여자완 달라 뻔한 사랑은 싫어 내가 더 많이 좋아해도 상관없어 너만 있으면 돼 다른 남자완 달라 이제 그만 받아줘 You'll be my baby baby baby 너 다른 남자 말고 너 너 아무도 안 어울려 지금 니 옆엔 노랜 끝나가고 있는데 넌 아무 말이 없어 Baby 다른 여자완 달라 뻔한 사랑은 싫어 내가 더 많이 좋아해도 상관없어 너만 있으면 돼 다른 남자완 달라 이제 그만 받아줘 You'll be my baby baby baby 너 다른 남자 말고 너 너 다른 남자 말고 너 다른 남자 말고 너너너너 너
방탄소년단,I NEED U,가요 / 랩/힙합,"Fall Fall Fall 흩어지네 Fall Fall Fall 떨어지네 너 땜에 나 이렇게 망가져 그만할래 이제 너 안 가져 못하겠어 뭣 같아서 제발 핑계 같은 건 삼가줘 니가 나한테 이럼 안 돼 니가 한 모든 말은 안대 진실을 가리고 날 찢어 날 찍어 나 미쳐 다 싫어 전부 가져가 난 니가 그냥 미워 But you're my everything (You're my) Everything (You're my) Everything (You're my) 제발 좀 꺼져 huh 미안해 (I hate u) 사랑해 (I hate u) 용서해 I need you girl 왜 혼자 사랑하고 혼자서만 이별해 I need you girl 왜 다칠 걸 알면서 자꾸 니가 필요해 I need you girl 넌 아름다워 I need you girl 너무 차가워 I need you girl (I need you girl) I need you girl (I need you girl) It goes round & round 나 왜 자꾸 돌아오지 I go down & down 이쯤 되면 내가 바보지 나 무슨 짓을 해봐도 어쩔 수가 없다고 분명 내 심장, 내 마음, 내 가슴인데 왜 말을 안 듣냐고 또 혼잣말하네 (또 혼잣말하네) 또 혼잣말하네 (또 혼잣말하네) 넌 아무 말 안 해 아 제발 내가 잘할게 하늘은 또 파랗게 (하늘은 또 파랗게) 하늘이 파래서 햇살이 빛나서 내 눈물이 더 잘 보이나 봐 왜 나는 너인지 왜 하필 너인지 왜 너를 떠날 수가 없는지 I need you girl 왜 혼자 사랑하고 혼자서만 이별해 I need you girl 왜 다칠 걸 알면서 자꾸 니가 필요해 I need you girl 넌 아름다워 I need you girl 너무 차가워 I need you girl (I need you girl) I need you girl (I need you girl) Girl 차라리 차라리 헤어지자고 해줘 Girl 사랑이 사랑이 아니었다고 해줘 내겐 그럴 용기가 없어 내게 마지막 선물을 줘 더는 돌아갈 수 없도록 I need you girl 왜 혼자 사랑하고 혼자서만 이별해 I need you girl 왜 다칠 걸 알면서 자꾸 니가 필요해 I need you girl 넌 아름다워 I need you girl 너무 차가워 I need you girl (I need you girl) I need you girl (I need you girl)"
여자친구 (GFRIEND),오늘부터 우리는 (Me gustas tu),가요 / 댄스,널 향한 설레임을  오늘부터 우리는  꿈꾸며 기도하는  오늘부터 우리는 저 바람에 노을 빛  내 맘을 실어 보낼게  그리운 마음이 모여서 내리는 Me gustas tu gustas tu  su tu tu ru 좋아해요  gustas tu su tu ru su tu ru 한 발짝 뒤에 섰던 우리는  언제쯤 센치 해질까요 서로 부끄러워서  아무 말도 못하는  너에게로 다가가고 싶은데 바람에 나풀거리는 꽃잎처럼  미래는 알 수가 없잖아  이제는 용기 내서 고백할게요 하나보단 둘이서  서로를 느껴봐요  내 마음 모아서 너에게  전하고 싶어 설레임을  오늘부터 우리는  꿈꾸며 기도하는  오늘부터 우리는 저 바람에 노을 빛  내 맘을 실어 보낼게  그리운 마음이 모여서 내리는 Me gustas tu gustas tu  su tu tu ru 좋아해요  gustas tu su tu ru su tu ru 한 걸음 앞에 서서 두 손을  놓지 말기로 약속해요 소중해질 기억을  꼭 꼭 담아둘게요  지금보다 더 아껴주세요 달빛에 아른거리는 구름처럼  아쉬운 시간만 가는데  이제는 용기 내서 고백할게요 둘 보단 하나 되어  서로를 느껴봐요  내 마음 모아서 너에게  전하고 싶어 설레임을  오늘부터 우리는  꿈꾸며 기도하는  오늘부터 우리는 저 바람에 노을 빛  내 맘을 실어 보낼게  그리운 마음이 모여서 내리는 감싸줄게요  그대 언제까지나 언제까지나 사랑이란 말 안 해도  느낄 수 있어요  고마운 마음을 모아서 널 향한 설레임을  오늘부터 우리는  꿈꾸며 기도하는  오늘부터 우리는 저 바람에 노을 빛  내 맘을 실어 보낼게  그리운 마음이 모여서 내리는 Me gustas tu gustas tu  su tu tu ru 좋아해요  gustas tu su tu ru su tu ru
